Best Performance by an Actor in a Supporting Role in any Motion Picture,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Best Performance by an Actress in a Supporting Role in any Motion Picture
"['Inglourious Basterds', 'Invictus', 'Messenger, The', 'Last Station, The', 'Lovely Bones, The']","['Julie & Julia', ""It's Complicated"", 'Proposal, The', 'Nine', 'Duplicity']","['Sherlock Holmes', 'The Informant!', 'Nine', '(500) Days of Summer', 'Serious Man, A']","['Precious: Based On The Novel Push By Sapphire', 'A Single Man', 'Nine', 'Up In The Air', 'Up In The Air']"
,,,
"['Fighter, The', 'Wall Street: Money Never Sleeps', 'The Social Network', 'Town, The', ""The King's Speech""]","['Kids Are All Right, The', 'Love & Other Drugs', 'Tourist, The', 'Kids Are All Right, The', 'Easy A']","[""Barney's Version"", 'Tourist, The', 'Love & Other Drugs', 'Casino Jack', 'Alice in Wonderland']","['Fighter, The', 'Fighter, The', ""The King's Speech"", 'Black Swan', 'Animal Kingdom']"
,,,
"['Beginners', 'Drive', 'Moneyball', 'Dangerous Method, A', 'My Week With Marilyn']","['My Week With Marilyn', 'Carnage', 'Young Adult', 'Bridesmaids', 'Carnage']","['The Artist', 'Guard, The', '50/50', 'Crazy, Stupid, Love.', 'Midnight In Paris']","['The Help', 'The Artist', 'The Help', 'Albert Nobbs', 'Descendants, The']"
,,,
"['Django Unchained', 'Master, The', 'Argo', 'Django Unchained', 'Lincoln']","['Silver Linings Playbook', 'Salmon Fishing in the Yemen', 'Best Exotic Marigold Hotel, The', 'Quartet', 'Hope Springs']","['Les Misérables', 'Hyde Park on Hudson', 'Silver Linings Playbook', 'Bernie', 'Salmon Fishing in the Yemen']","['Les Misérables', 'Master, The', 'Sessions, The', 'Paperboy, The', 'Lincoln']"
,,,
"['Dallas Buyers Club', '12 Years a Slave', 'Captain Phillips', 'Rush', 'American Hustle']","['American Hustle', 'August: Osage County', 'Before Midnight', 'Enough Said', 'Frances Ha']","['Wolf of Wall Street, The', 'Her', 'American Hustle', 'Nebraska', 'Inside Llewyn Davis']","['American Hustle', '12 Years a Slave', 'Nebraska', 'August: Osage County', 'Blue Jasmine']"
,,,
"['Whiplash', 'Foxcatcher', 'Judge, The', 'Boyhood', 'Birdman']","['Big Eyes', 'Into the Woods', 'Hundred-Foot Journey, The', 'Maps To The Stars', 'Annie (2014)']","['Birdman', 'Grand Budapest Hotel, The', 'Big Eyes', 'St. Vincent', 'Inherent Vice']","['Boyhood', 'Birdman', 'The Imitation Game', 'Into the Woods', 'A Most Violent Year']"
,,,
"['Creed', '99 Homes', 'Beasts of No Nation', 'Bridge of Spies', 'Love & Mercy']","['Joy', 'Grandma', 'Spy', 'Lady in the Van, The', 'Trainwreck']","['The Martian', 'Danny Collins', 'Infinitely Polar Bear', 'Big Short, The', 'Big Short, The']","['Steve Jobs', 'The Hateful Eight', 'Trumbo', 'Youth', 'Ex Machina']"
,,,
